Months,Years,date,Count_MrBeast,Count_Tseries
1,2015,Jan-15,134,143
2,2015,Feb-15,833,71
3,2015,Mar-15,953,80
4,2015,Apr-15,1931,55
5,2015,May-15,2696,66
6,2015,Jun-15,1694,37
7,2015,Jul-15,3298,89
8,2015,Aug-15,5904,105
9,2015,Sep-15,1872,106
10,2015,Oct-15,962,98
11,2015,Nov-15,359,74
12,2015,Dec-15,430,110
1,2016,Jan-16,319,100
2,2016,Feb-16,691,178
3,2016,Mar-16,144,117
4,2016,Apr-16,354,177
5,2016,May-16,581,170
6,2016,Jun-16,437,104
7,2016,Jul-16,79,109
8,2016,Aug-16,184,87
9,2016,Sep-16,18,177
10,2016,Oct-16,56,141
11,2016,Nov-16,617,145
12,2016,Dec-16,1167,118
1,2017,Jan-17,532,86
2,2017,Feb-17,759,125
3,2017,Mar-17,812,142
4,2017,Apr-17,80,119
5,2017,May-17,544,155
6,2017,Jun-17,2107,129
7,2017,Jul-17,103,143
8,2017,Aug-17,769,202
10,2017,Oct-17,909,127
12,2017,Dec-17,1385,99
1,2018,Jan-18,1178,89
2,2018,Feb-18,1662,143
3,2018,Mar-18,1365,163
4,2018,Apr-18,2253,89
5,2018,May-18,2071,63
6,2018,Jun-18,2587,39
7,2018,Jul-18,1661,123
8,2018,Aug-18,2353,132
9,2018,Sep-18,3905,117
10,2018,Oct-18,2510,118
11,2018,Nov-18,3568,89
12,2018,Dec-18,3842,113
1,2019,Jan-19,3791,96
2,2019,Feb-19,2633,90
3,2019,Mar-19,2701,80
4,2019,Apr-19,3227,82
5,2019,May-19,2162,110
6,2019,Jun-19,3004,128
7,2019,Jul-19,1650,141
8,2019,Aug-19,4342,137
9,2019,Sep-19,1976,82
10,2019,Oct-19,2691,117
11,2019,Nov-19,3304,187
12,2019,Dec-19,3374,133
1,2020,Jan-20,1257,122
2,2020,Feb-20,1870,143
3,2020,Mar-20,2170,77
4,2020,Apr-20,1602,95
5,2020,May-20,1632,109
6,2020,Jun-20,1637,100
7,2020,Jul-20,1094,73
8,2020,Aug-20,2724,69
9,2020,Sep-20,2154,70
10,2020,Oct-20,2685,73
11,2020,Nov-20,1101,66
12,2020,Dec-20,1653,88
1,2021,Jan-21,1637,80
2,2021,Feb-21,532,76
3,2021,Mar-21,1647,134
4,2021,Apr-21,2189,131
6,2021,Jun-21,1637,92
7,2021,Jul-21,1088,80
8,2021,Aug-21,1092,83
9,2021,Sep-21,1097,119
10,2021,Oct-21,1098,74
11,2021,Nov-21,552,117
12,2021,Dec-21,1655,163
1,2022,Jan-22,515,121
3,2022,Mar-22,462,153
4,2022,Apr-22,437,155
6,2022,Jun-22,427,158
7,2022,Jul-22,954,187
8,2022,Aug-22,840,133
9,2022,Sep-22,776,116
10,2022,Oct-22,783,211
11,2022,Nov-22,1010,180
12,2022,Dec-22,1227,114
1,2023,Jan-23,256,154
2,2023,Feb-23,237,155
3,2023,Mar-23,408,158
4,2023,Apr-23,470,274
5,2023,May-23,401,145
6,2023,Jun-23,257,149
7,2023,Jul-23,218,195
8,2023,Aug-23,420,95
